"Regionale kerncijfers Nederland"
""
"";"";"Onderwerp"
"";"";"Onderwijs|Naar woongemeente|Leerlingen/studenten|Voortgezet onderwijs";"Onderwijs|Naar woongemeente|Leerlingen/studenten|Beroepsopleidende leerweg";"Onderwijs|Naar woongemeente|Leerlingen/studenten|Beroepsbegeleidende leerweg";"Onderwijs|Naar woongemeente|Leerlingen/studenten|Hoger beroepsonderwijs";"Onderwijs|Naar woongemeente|Leerlingen/studenten|Wetenschappelijk onderwijs"
"Perioden";"Regio's";"aantal";"aantal";"aantal";"aantal";"aantal"
"2000";"Opmeer";".";".";".";"190";"35"
"2000";"Ouder-Amstel";".";".";".";"206";"163"
"2000";"Oudewater";".";".";".";"147";"54"
"2000";"Purmerend";".";".";".";"993";"437"
"2000";"Renswoude";".";".";".";"52";"17"
"2000";"Rhenen";".";".";".";"219";"79"
"2000";"De Ronde Venen";".";".";".";"518";"197"
"2000";"Schagen";".";".";".";"290";"93"
"2000";"Schermer";".";".";".";"68";"19"
"2000";"Schoorl";".";".";".";"101";"32"
"2000";"Soest";".";".";".";"627";"268"
"2000";"Stede Broec";".";".";".";"328";"88"
"2000";"Stichtse Vecht";"";"";"";"";""
"2000";"Texel";".";".";".";"128";"33"
"2000";"Uitgeest";".";".";".";"211";"54"
"2000";"Uithoorn";".";".";".";"339";"162"
"2000";"Utrecht (gemeente)";".";".";".";"8102";"11986"
"2000";"Utrechtse Heuvelrug";"";"";"";"";""
"2000";"Veenendaal";".";".";".";"1099";"326"
"2000";"Velsen";".";".";".";"790";"353"
"2000";"Venhuizen";".";".";".";"130";"42"
"2000";"Vianen";".";".";".";"311";"106"
"2000";"Vijfheerenlanden";"";"";"";"";""
"2000";"Vleuten-De Meern";".";".";".";"289";"139"
"2000";"Waterland";".";".";".";"309";"136"
"2000";"Weesp";".";".";".";"260";"132"
"2000";"Wervershoof";".";".";".";"160";"42"
"2000";"Wester-Koggenland";".";".";".";"248";"73"
"2000";"Wieringen";".";".";".";"77";"18"
"2000";"Wieringermeer";".";".";".";"154";"31"
"2000";"Wijdemeren";"";"";"";"";""
"2000";"Wijk bij Duurstede";".";".";".";"404";"116"
"2000";"Woerden";".";".";".";"750";"293"
"2000";"Wognum";".";".";".";"163";"46"
"2000";"Wormerland";".";".";".";"237";"85"
"2000";"Woudenberg";".";".";".";"182";"43"
"2000";"Zaanstad";".";".";".";"2093";"749"
"2000";"Zandvoort";".";".";".";"204";"81"
"2000";"Zeevang";".";".";".";"95";"46"
"2000";"Zeist";".";".";".";"1217";"824"
"2000";"Zijpe";".";".";".";"157";"21"
"2001";"Aalburg";".";".";".";"152";"40"
"2001";"Aalsmeer";".";".";".";"259";"142"
"2001";"Aarle-Rixtel";"";"";"";"";""
"2001";"Abcoude";".";".";".";"131";"91"
"2001";"Akersloot";".";".";".";"93";"23"
"2001";"Alkmaar";".";".";".";"1885";"629"
"2001";"Alphen en Riel";"";"";"";"";""
"2001";"Alphen-Chaam";".";".";".";"189";"68"
"2001";"Altena";"";"";"";"";""
"2001";"Amerongen";".";".";".";"89";"34"
"2001";"Amersfoort";".";".";".";"2308";"852"
"2001";"Amstelveen";".";".";".";"1423";"2266"
"2001";"Amsterdam";".";".";".";"13883";"16465"
"2001";"Andijk";".";".";".";"121";"17"
"2001";"Anna Paulowna";".";".";".";"232";"41"
"2001";"Asten";".";".";".";"237";"71"
"2001";"Baarle-Nassau";".";".";".";"87";"28"
"2001";"Baarn";".";".";".";"351";"168"
"2001";"Bakel en Milheeze";"";"";"";"";""
"2001";"Beek en Donk";"";"";"";"";""
"2001";"Beemster";".";".";".";"137";"49"
"2001";"Bennebroek";".";".";".";"85";"32"
"2001";"Bergeijk";".";".";".";"254";"86"
"2001";"Bergen (NH.)";".";".";".";"458";"185"
"2001";"Bergen op Zoom";".";".";".";"1078";"257"
"2001";"Bergeyk";"";"";"";"";""
"2001";"Berkel-Enschot";"";"";"";"";""
"2001";"Berlicum";"";"";"";"";""
"2001";"Bernheze";".";".";".";"473";"153"
"2001";"Best";".";".";".";"477";"146"
"2001";"Beverwijk";".";".";".";"531";"182"
"2001";"De Bilt";".";".";".";"666";"548"
"2001";"Bladel";".";".";".";"287";"105"
"2001";"Bladel en Netersel";"";"";"";"";""
"2001";"Blaricum";".";".";".";"163";"108"
"2001";"Bloemendaal";".";".";".";"267";"243"
"2001";"Boekel";".";".";".";"160";"36"
"2001";"Boxmeer";".";".";".";"513";"152"
"2001";"Boxtel";".";".";".";"576";"198"
"2001";"Breda";".";".";".";"5439";"1062"
"2001";"Breukelen";".";".";".";"222";"104"
"2001";"Budel";"";"";"";"";""
"2001";"Bunnik";".";".";".";"227";"162"
"2001";"Bunschoten";".";".";".";"321";"74"
"2001";"Bussum";".";".";".";"454";"266"
"2001";"Castricum";".";".";".";"504";"216"
"2001";"Chaam";"";"";"";"";""
"2001";"Cothen";"";"";"";"";""
"2001";"Cranendonck";".";".";".";"331";"107"
"2001";"Cuijk";".";".";".";"409";"122"
"2001";"Deurne";".";".";".";"494";"154"
"2001";"Diemen";".";".";".";"579";"533"
"2001";"Diessen";"";"";"";"";""
"2001";"Dijk en Waard";"";"";"";"";""
"2001";"Dinteloord en Prinsenland";"";"";"";"";""
"2001";"Dongen";".";".";".";"398";"112"
"2001";"Doorn";".";".";".";"148";"67"
"2001";"Drechterland";".";".";".";"198";"62"
"2001";"Driebergen-Rijsenburg";".";".";".";"296";"154"
"2001";"Drimmelen";".";".";".";"462";"122"
"2001";"Drunen";"";"";"";"";""
"2001";"Den Dungen";"";"";"";"";""
"2001";"Dussen";"";"";"";"";""
"2001";"Edam-Volendam";".";".";".";"347";"185"
"2001";"Eemnes";".";".";".";"171";"77"
"2001";"Eersel";".";".";".";"359";"90"
"2001";"Egmond";"";"";"";"";""
"2001";"Eindhoven";".";".";".";"5371";"4004"
"2001";"Enkhuizen";".";".";".";"250";"68"
"2001";"Esch";"";"";"";"";""
"2001";"Etten-Leur";".";".";".";"833";"214"
"2001";"Fijnaart en Heijningen";"";"";"";"";""
"2001";"Geertruidenberg";".";".";".";"342";"73"
"2001";"Geldrop";".";".";".";"482";"156"
"2001";"Geldrop-Mierlo";"";"";"";"";""
"2001";"Gemert";"";"";"";"";""
"2001";"Gooise Meren";"";"";"";"";""
"2001";"Graft-De Rijp";".";".";".";"90";"36"
"2001";"'s-Graveland";".";".";".";"126";"81"
"2001";"Haarlem";".";".";".";"2930";"1318"
"2001";"Haarlemmerliede en Spaarnwoude";".";".";".";"82";"34"
"2001";"Haarlemmermeer";".";".";".";"1830";"884"
"2001";"Harenkarspel";".";".";".";"274";"62"
"2001";"Harmelen";"";"";"";"";""
"2001";"Heemskerk";".";".";".";"555";"184"
"2001";"Heemstede";".";".";".";"405";"272"
"2001";"Heerhugowaard";".";".";".";"875";"272"
"2001";"Heiloo";".";".";".";"401";"178"
"2001";"Den Helder";".";".";".";"678";"162"
"2001";"Hilversum";".";".";".";"1382";"653"
"2001";"Hollands Kroon";"";"";"";"";""
"2001";"Hoorn";".";".";".";"1205";"415"
"2001";"Houten";".";".";".";"757";"275"
"2001";"Huizen";".";".";".";"795";"285"
"2001";"IJsselstein";".";".";".";"544";"196"
"2001";"Koggenland";"";"";"";"";""
"2001";"Landsmeer";".";".";".";"134";"82"
"2001";"Langbroek";"";"";"";"";""
"2001";"Langedijk";".";".";".";"503";"194"
"2001";"Laren (NH.)";".";".";".";"127";"93"
"2001";"Leersum";".";".";".";"86";"36"
"2001";"Leusden";".";".";".";"549";"188"
"2001";"Limmen";".";".";".";"123";"54"
"2001";"Loenen";".";".";".";"100";"49"
"2001";"Loosdrecht";".";".";".";"112";"53"
"2001";"Lopik";".";".";".";"169";"60"
"2001";"Maarn";".";".";".";"93";"40"
"2001";"Maarssen";".";".";".";"778";"309"
"2001";"Maartensdijk";"";"";"";"";""
"2001";"Medemblik";".";".";".";"94";"25"
"2001";"Montfoort";".";".";".";"256";"90"
"2001";"Muiden";".";".";".";"100";"55"
"2001";"Naarden";".";".";".";"220";"146"
"2001";"Nederhorst den Berg";".";".";".";"69";"32"
"2001";"Niedorp";".";".";".";"156";"36"
"2001";"Nieuwegein";".";".";".";"1268";"505"
"2001";"Noorder-Koggenland";".";".";".";"155";"43"
"2001";"Obdam";".";".";".";"119";"34"
"2001";"Oostzaan";".";".";".";"106";"49"
"2001";"Opmeer";".";".";".";"189";"36"
"2001";"Ouder-Amstel";".";".";".";"199";"157"
"2001";"Oudewater";".";".";".";"145";"48"
"2001";"Purmerend";".";".";".";"1069";"430"
"2001";"Renswoude";".";".";".";"60";"16"
"2001";"Rhenen";".";".";".";"223";"91"
"2001";"De Ronde Venen";".";".";".";"573";"200"
"2001";"Schagen";".";".";".";"295";"107"
"2001";"Schermer";".";".";".";"64";"23"
"2001";"Schoorl";"";"";"";"";""
"2001";"Soest";".";".";".";"672";"266"
"2001";"Stede Broec";".";".";".";"336";"82"
"2001";"Stichtse Vecht";"";"";"";"";""
"2001";"Texel";".";".";".";"151";"38"
"2001";"Uitgeest";".";".";".";"207";"72"
"2001";"Uithoorn";".";".";".";"345";"176"
"2001";"Utrecht (gemeente)";".";".";".";"8498";"12370"
"2001";"Utrechtse Heuvelrug";"";"";"";"";""
"2001";"Veenendaal";".";".";".";"1179";"333"
"2001";"Velsen";".";".";".";"816";"390"
"2001";"Venhuizen";".";".";".";"140";"34"
"2001";"Vianen";".";".";".";"305";"102"
"2001";"Vijfheerenlanden";"";"";"";"";""
"2001";"Vleuten-De Meern";"";"";"";"";""
"2001";"Waterland";".";".";".";"310";"134"
"2001";"Weesp";".";".";".";"279";"128"
"2001";"Wervershoof";".";".";".";"151";"41"
"2001";"Wester-Koggenland";".";".";".";"245";"71"
"2001";"Wieringen";".";".";".";"87";"21"
"2001";"Wieringermeer";".";".";".";"164";"34"
"2001";"Wijdemeren";"";"";"";"";""
"2001";"Wijk bij Duurstede";".";".";".";"429";"146"
"2001";"Woerden";".";".";".";"910";"368"
"2001";"Wognum";".";".";".";"166";"59"
"2001";"Wormerland";".";".";".";"230";"94"
"2001";"Woudenberg";".";".";".";"189";"47"
"2001";"Zaanstad";".";".";".";"2082";"814"
"2001";"Zandvoort";".";".";".";"203";"89"
"2001";"Zeevang";".";".";".";"98";"45"
"2001";"Zeist";".";".";".";"1230";"861"
"2001";"Zijpe";".";".";".";"153";"29"
"2002";"Aalburg";".";".";".";"157";"43"
"2002";"Aalsmeer";".";".";".";"279";"137"
"2002";"Aarle-Rixtel";"";"";"";"";""
"2002";"Abcoude";".";".";".";"140";"88"
"2002";"Akersloot";"";"";"";"";""
"2002";"Alkmaar";".";".";".";"1876";"674"
"2002";"Alphen en Riel";"";"";"";"";""
"2002";"Alphen-Chaam";".";".";".";"193";"48"
"2002";"Altena";"";"";"";"";""
"2002";"Amerongen";".";".";".";"93";"21"
"2002";"Amersfoort";".";".";".";"2333";"886"
"2002";"Amstelveen";".";".";".";"1448";"2276"
"2002";"Amsterdam";".";".";".";"14950";"17759"
"2002";"Andijk";".";".";".";"105";"22"
"2002";"Anna Paulowna";".";".";".";"222";"39"
"2002";"Asten";".";".";".";"231";"66"
"2002";"Baarle-Nassau";".";".";".";"81";"24"
"2002";"Baarn";".";".";".";"342";"139"
"2002";"Bakel en Milheeze";"";"";"";"";""
"2002";"Beek en Donk";"";"";"";"";""
"2002";"Beemster";".";".";".";"145";"53"
"2002";"Bennebroek";".";".";".";"74";"29"
"2002";"Bergeijk";".";".";".";"285";"85"
"2002";"Bergen (NH.)";".";".";".";"446";"177"
"2002";"Bergen op Zoom";".";".";".";"1059";"248"
"2002";"Bergeyk";"";"";"";"";""
"2002";"Berkel-Enschot";"";"";"";"";""
"2002";"Berlicum";"";"";"";"";""
"2002";"Bernheze";".";".";".";"494";"135"
"2002";"Best";".";".";".";"492";"156"
"2002";"Beverwijk";".";".";".";"511";"176"
"2002";"De Bilt";".";".";".";"667";"527"
"2002";"Bladel";".";".";".";"294";"94"
"2002";"Bladel en Netersel";"";"";"";"";""
"2002";"Blaricum";".";".";".";"156";"83"
"2002";"Bloemendaal";".";".";".";"270";"218"
"2002";"Boekel";".";".";".";"139";"36"
"2002";"Boxmeer";".";".";".";"448";"145"
"2002";"Boxtel";".";".";".";"578";"191"
"2002";"Breda";".";".";".";"5795";"1081"
"2002";"Breukelen";".";".";".";"232";"99"
"2002";"Budel";"";"";"";"";""
"2002";"Bunnik";".";".";".";"239";"192"
"2002";"Bunschoten";".";".";".";"307";"75"
"2002";"Bussum";".";".";".";"429";"239"
"2002";"Castricum";".";".";".";"741";"308"
"2002";"Chaam";"";"";"";"";""
"2002";"Cothen";"";"";"";"";""
"2002";"Cranendonck";".";".";".";"346";"95"
"2002";"Cuijk";".";".";".";"377";"125"
"2002";"Deurne";".";".";".";"504";"135"
"2002";"Diemen";".";".";".";"656";"560"
"2002";"Diessen";"";"";"";"";""
"2002";"Dijk en Waard";"";"";"";"";""
"2002";"Dinteloord en Prinsenland";"";"";"";"";""
"2002";"Dongen";".";".";".";"405";"119"
"2002";"Doorn";".";".";".";"151";"54"
"2002";"Drechterland";".";".";".";"186";"71"
"2002";"Driebergen-Rijsenburg";".";".";".";"291";"141"
"2002";"Drimmelen";".";".";".";"443";"122"
"2002";"Drunen";"";"";"";"";""
"2002";"Den Dungen";"";"";"";"";""
"2002";"Dussen";"";"";"";"";""
"2002";"Edam-Volendam";".";".";".";"359";"183"
"2002";"Eemnes";".";".";".";"158";"80"
"2002";"Eersel";".";".";".";"331";"95"
"2002";"Egmond";"";"";"";"";""
"2002";"Eindhoven";".";".";".";"5698";"4475"
"2002";"Enkhuizen";".";".";".";"267";"60"
"2002";"Esch";"";"";"";"";""
"2002";"Etten-Leur";".";".";".";"840";"204"
"2002";"Fijnaart en Heijningen";"";"";"";"";""
"2002";"Geertruidenberg";".";".";".";"331";"76"
"2002";"Geldrop";".";".";".";"475";"137"
"2002";"Geldrop-Mierlo";"";"";"";"";""
"2002";"Gemert";"";"";"";"";""
"2002";"Gooise Meren";"";"";"";"";""
"2002";"Graft-De Rijp";".";".";".";"99";"26"
"2002";"'s-Graveland";"";"";"";"";""
"2002";"Haarlem";".";".";".";"3107";"1314"
"2002";"Haarlemmerliede en Spaarnwoude";".";".";".";"80";"34"
"2002";"Haarlemmermeer";".";".";".";"2029";"927"
"2002";"Harenkarspel";".";".";".";"266";"67"
"2002";"Harmelen";"";"";"";"";""
"2002";"Heemskerk";".";".";".";"574";"216"
"2002";"Heemstede";".";".";".";"421";"270"
"2002";"Heerhugowaard";".";".";".";"867";"247"
"2002";"Heiloo";".";".";".";"395";"170"
"2002";"Den Helder";".";".";".";"676";"164"
"2002";"Hilversum";".";".";".";"1364";"633"
"2002";"Hollands Kroon";"";"";"";"";""
"2002";"Hoorn";".";".";".";"1241";"422"
"2002";"Houten";".";".";".";"862";"321"
"2002";"Huizen";".";".";".";"799";"289"
"2002";"IJsselstein";".";".";".";"558";"213"
"2002";"Koggenland";"";"";"";"";""
"2002";"Landsmeer";".";".";".";"159";"76"
"2002";"Langbroek";"";"";"";"";""
"2002";"Langedijk";".";".";".";"490";"162"
"2002";"Laren (NH.)";".";".";".";"120";"89"
"2002";"Leersum";".";".";".";"77";"34"
"2002";"Leusden";".";".";".";"513";"167"
"2002";"Limmen";"";"";"";"";""
"2002";"Loenen";".";".";".";"99";"52"
"2002";"Loosdrecht";"";"";"";"";""
"2002";"Lopik";".";".";".";"196";"59"
"2002";"Maarn";".";".";".";"81";"29"
"2002";"Maarssen";".";".";".";"780";"300"
"2002";"Maartensdijk";"";"";"";"";""
"2002";"Medemblik";".";".";".";"85";"21"
"2002";"Montfoort";".";".";".";"249";"100"
"2002";"Muiden";".";".";".";"96";"42"
"2002";"Naarden";".";".";".";"218";"132"
"2002";"Nederhorst den Berg";"";"";"";"";""
"2002";"Niedorp";".";".";".";"155";"34"
"2002";"Nieuwegein";".";".";".";"1257";"533"
"2002";"Noorder-Koggenland";".";".";".";"150";"43"
"2002";"Obdam";".";".";".";"114";"32"
"2002";"Oostzaan";".";".";".";"110";"57"
"2002";"Opmeer";".";".";".";"168";"27"
"2002";"Ouder-Amstel";".";".";".";"212";"159"
"2002";"Oudewater";".";".";".";"144";"41"
"2002";"Purmerend";".";".";".";"1145";"449"
"2002";"Renswoude";".";".";".";"65";"12"
"2002";"Rhenen";".";".";".";"234";"87"
"2002";"De Ronde Venen";".";".";".";"583";"204"
"2002";"Schagen";".";".";".";"284";"91"
"2002";"Schermer";".";".";".";"53";"26"
"2002";"Schoorl";"";"";"";"";""
"2002";"Soest";".";".";".";"661";"284"
"2002";"Stede Broec";".";".";".";"329";"83"
"2002";"Stichtse Vecht";"";"";"";"";""
"2002";"Texel";".";".";".";"110";"27"
"2002";"Uitgeest";".";".";".";"221";"61"
"2002";"Uithoorn";".";".";".";"326";"175"
"2002";"Utrecht (gemeente)";".";".";".";"9445";"13865"
"2002";"Utrechtse Heuvelrug";"";"";"";"";""
"2002";"Veenendaal";".";".";".";"1168";"359"
"2002";"Velsen";".";".";".";"829";"400"
"2002";"Venhuizen";".";".";".";"129";"26"
"2002";"Vianen";".";".";".";"322";"109"
"2002";"Vijfheerenlanden";"";"";"";"";""
"2002";"Vleuten-De Meern";"";"";"";"";""
"2002";"Waterland";".";".";".";"297";"143"
"2002";"Weesp";".";".";".";"272";"130"
"2002";"Wervershoof";".";".";".";"140";"34"
"2002";"Wester-Koggenland";".";".";".";"224";"72"
"2002";"Wieringen";".";".";".";"78";"20"
"2002";"Wieringermeer";".";".";".";"165";"33"
"2002";"Wijdemeren";".";".";".";"294";"160"
"2002";"Wijk bij Duurstede";".";".";".";"395";"128"
"2002";"Woerden";".";".";".";"918";"352"
"2002";"Wognum";".";".";".";"165";"53"
"2002";"Wormerland";".";".";".";"233";"103"
"2002";"Woudenberg";".";".";".";"193";"42"
"2002";"Zaanstad";".";".";".";"2048";"862"
"2002";"Zandvoort";".";".";".";"205";"96"
"2002";"Zeevang";".";".";".";"87";"34"
"2002";"Zeist";".";".";".";"1171";"957"
"2002";"Zijpe";".";".";".";"150";"37"
"2003";"Aalburg";"738";".";".";"161";"42"
"2003";"Aalsmeer";"776";".";".";"313";"142"
"2003";"Aarle-Rixtel";"";"";"";"";""
"2003";"Abcoude";"534";".";".";"141";"96"
"2003";"Akersloot";"";"";"";"";""
"2003";"Alkmaar";"4997";".";".";"1940";"664"
"2003";"Alphen en Riel";"";"";"";"";""
"2003";"Alphen-Chaam";"564";".";".";"183";"55"
"2003";"Altena";"";"";"";"";""
"2003";"Amerongen";"438";".";".";"81";"27"
"2003";"Amersfoort";"6536";".";".";"2557";"914"
"2003";"Amstelveen";"3619";".";".";"1526";"2406"
"2003";"Amsterdam";"29784";".";".";"16198";"18600"
"2003";"Andijk";"428";".";".";"105";"25"
"2003";"Anna Paulowna";"777";".";".";"218";"42"
"2003";"Asten";"1044";".";".";"251";"69"
"2003";"Baarle-Nassau";"300";".";".";"99";"25"
"2003";"Baarn";"1240";".";".";"347";"151"
"2003";"Bakel en Milheeze";"";"";"";"";""
"2003";"Beek en Donk";"";"";"";"";""
"2003";"Beemster";"419";".";".";"157";"57"
"2003";"Bennebroek";"262";".";".";"63";"41"
"2003";"Bergeijk";"1048";".";".";"276";"85"
"2003";"Bergen (NH.)";"1607";".";".";"455";"180"
"2003";"Bergen op Zoom";"3456";".";".";"1112";"249"
"2003";"Bergeyk";"";"";"";"";""
"2003";"Berkel-Enschot";"";"";"";"";""
"2003";"Berlicum";"";"";"";"";""
"2003";"Bernheze";"1891";".";".";"499";"144"
"2003";"Best";"1691";".";".";"523";"178"
"2003";"Beverwijk";"1603";".";".";"515";"182"
"2003";"De Bilt";"2183";".";".";"700";"523"
"2003";"Bladel";"1131";".";".";"309";"101"
"2003";"Bladel en Netersel";"";"";"";"";""
"2003";"Blaricum";"590";".";".";"136";"85"
"2003";"Bloemendaal";"1091";".";".";"308";"214"
"2003";"Boekel";"560";".";".";"134";"39"
"2003";"Boxmeer";"1711";".";".";"462";"173"
"2003";"Boxtel";"1752";".";".";"573";"205"
"2003";"Breda";"8165";".";".";"6287";"1166"
"2003";"Breukelen";"820";".";".";"222";"128"
"2003";"Budel";"";"";"";"";""
"2003";"Bunnik";"872";".";".";"240";"185"
"2003";"Bunschoten";"1292";".";".";"306";"90"
"2003";"Bussum";"1625";".";".";"455";"259"
"2003";"Castricum";"1955";".";".";"777";"321"
"2003";"Chaam";"";"";"";"";""
"2003";"Cothen";"";"";"";"";""
"2003";"Cranendonck";"993";".";".";"347";"104"
"2003";"Cuijk";"1303";".";".";"357";"117"
"2003";"Deurne";"1850";".";".";"574";"137"
"2003";"Diemen";"1296";".";".";"697";"573"
"2003";"Diessen";"";"";"";"";""
"2003";"Dijk en Waard";"";"";"";"";""
"2003";"Dinteloord en Prinsenland";"";"";"";"";""
"2003";"Dongen";"1358";".";".";"436";"122"
"2003";"Doorn";"521";".";".";"162";"62"
"2003";"Drechterland";"662";".";".";"178";"73"
"2003";"Driebergen-Rijsenburg";"1168";".";".";"304";"146"
"2003";"Drimmelen";"1594";".";".";"454";"131"
"2003";"Drunen";"";"";"";"";""
"2003";"Den Dungen";"";"";"";"";""
"2003";"Dussen";"";"";"";"";""
"2003";"Edam-Volendam";"1279";".";".";"390";"216"
"2003";"Eemnes";"582";".";".";"161";"79"
"2003";"Eersel";"1132";".";".";"347";"106"
